id,timestamp,target_embedding,source_params,model,seed,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,optimizer,learning_rate,weight_decay,use_pca,pca_frac,momentum_sgd,norm_layer,do_layer,hidden_layers,input_dim,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec

1,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,768,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[2, 3]","[768, 512, 256]",59,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14223,1.36295,0.56818,266,0.48148,0.59561,217,0.14324,STOPPED,9.93
2,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,768,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[2, 3]","[768, 512, 256]",65,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14217,1.79535,0.47727,333,0.35425,0.45455,50,0.15446,STOPPED,12.42
3,20251019_192157,gaitpart_16steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,768,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[2, 3]","[768, 512, 256]",65,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14257,1.54349,0.54545,275,0.45258,0.51839,41,0.15462,STOPPED,10.264
4,20251019_192157,gaitset_62steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,768,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[2, 3]","[768, 512, 256]",63,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14314,1.90836,0.45455,374,0.32566,0.37184,29,0.16995,STOPPED,13.974
5,20251019_192157,gln_93steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,minmax,64,3,768,silu,0.4,Adam,0.0002,1e-07,True,0.8,,"[1, 2, 3]","[2, 3]","[768, 512, 256]",50,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14196,1.88335,0.40909,368,0.29513,0.48312,85,0.14887,STOPPED,13.752

6,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,896,silu,0.4,Adam,0.0001,0.0,True,0.85,,"[1, 2, 3]","[1, 2]","[896, 640, 384, 192]",74,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14707,1.49938,0.59091,612,0.44737,0.50131,329,0.15638,STOPPED,22.837
7,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,896,silu,0.4,Adam,0.0001,0.0,True,0.85,,"[1, 2, 3]","[1, 2]","[896, 640, 384, 192]",93,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14088,2.48671,0.40909,769,0.35141,0.39337,567,0.14672,STOPPED,28.714
8,20251019_192157,gaitpart_16steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,896,silu,0.4,Adam,0.0001,0.0,True,0.85,,"[1, 2, 3]","[1, 2]","[896, 640, 384, 192]",83,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14108,1.89632,0.5,814,0.42747,0.4757,645,0.14346,STOPPED,30.385
9,20251019_192157,gaitset_62steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,896,silu,0.4,Adam,0.0001,0.0,True,0.85,,"[1, 2, 3]","[1, 2]","[896, 640, 384, 192]",80,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14111,2.17124,0.47727,702,0.35829,0.4596,335,0.2313,STOPPED,26.215
10,20251019_192157,gln_93steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,896,silu,0.4,Adam,0.0001,0.0,True,0.85,,"[1, 2, 3]","[1, 2]","[896, 640, 384, 192]",64,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14267,2.07055,0.43182,697,0.36508,0.42544,445,0.14807,STOPPED,26.024

11,20251019_192157,baseline_31steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,1280,silu,0.5,Adam,0.0001,1e-07,True,0.85,,"[1, 2, 3, 4]","[1, 2]","[1280, 896, 512, 256]",74,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14184,1.77031,0.54545,640,0.42577,0.47985,359,0.15289,STOPPED,23.903
12,20251019_192157,gaitgl_64steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,1280,silu,0.5,Adam,0.0001,1e-07,True,0.85,,"[1, 2, 3, 4]","[1, 2]","[1280, 896, 512, 256]",93,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14022,2.70506,0.36364,875,0.3118,0.3782,423,0.2723,STOPPED,32.649
13,20251019_192157,gaitpart_16steps_mean.csv,mlp_results_v2.csv,MLP,42,mean,L2,64,4,1280,silu,0.5,Adam,0.0001,1e-07,True,0.85,,"[1, 2, 3, 4]","[1, 2]","[1280, 896, 512, 256]",83,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14395,1.84951,0.52273,1115,0.43838,0.49238,875,0.14156,STOPPED,41.636
